Abstracts of Papers, 221st ACS National Meeting, San Diego, CA, United States, April 1-5, 2001
Abstracts of Papers, 222nd ACS National Meeting, Chicago, IL, United States, August 26-30, 2001
Abstracts of Papers, 225th ACS National Meeting, New Orleans, LA, United States, March 23-27, 2003
Abstracts of Papers, 230th ACS National Meeting, Washington, DC, United States, Aug. 28-Sept. 1, 2005
Accounts of Chemical Research	Acc. Chem. Res.
ACH - Models in Chemistry	ACH - Models Chem.
ACI Materials Journal	ACI Mater. J.
ACS Symposium Series	ACS Symp. Ser.
Acta Biochimica Polonica	Acta Biochim. Pol.
Acta Biotechnologica	Acta Biotechnol.
Acta Chemica Scandinavica	Acta Chem. Scand.
Acta Chemica Scandinavica, Series A: Physical and Inorganic Chemistry
Acta Chimica Sinica	Acta Chim. Sinica
Acta Cienceia Indica Chemistry	Acta Cienc. Indica, Chem.
Acta Ciencia Indica Phyics	Acta Cienc. Indica, Phys.
Acta Crystallographica Section A: Foundations	Acta Crystallogr., Sect. A: Found. Crystallogr.
Acta Crystallographica Section B: Structural Science	Acta Crystallogr., Sect. B: Struct. Sci
Acta Crystallographica Section C: Crystal Structure Communications	Acta Crystallogr., Sect. C: Cryst. Struct. Commun.
Acta Crystallographica Section D: Biological Crystallography	Acta Crystallogr., Sect D: Biol. Crystallogr.
Acta Crystallographica Section E: Structure Reports Online	Acta Crystallogr. Sect. E: Struct. Rep. Online
Acta Hydrochimica et Hydrobiologica	Acta Hydroch. Hydrob.
Acta Materialia	Acta Mater.
Acta Metallurgica	Acta Metall.
Acta Physica Polonica A	Acta Phys. Pol., A
Acta Physica Polonica B	Acta Phys. Pol., B
Acta Polymerica	Acta Polym.
Acta Polytechnica Scandinavica - Chemical Technology Series	Acta Polytech. Scand., Chem. Technol. Ser
Adhesives Age	Adhes. Age
Adsorption Science and Technology	Adsorpt. Sci. Technol.
Advanced Composite Materials	Adv. Compos. Mater
Advanced Engineering Materials	Adv. Eng. Mater.
Advanced Functional Materials	Adv. Funct. Mater.
Advanced Materials and Processes	Adv. Mater. Processes
Advanced Materials for Optics and Electronics	Adv. Mater. Opt. Electron.
Advanced Materials	Adv. Mater.
Advanced Powder Technology	Adv. Powder Technol.
Advanced Synthesis & Catalysis	Adv. Synth. Catal.
Advanced Synthesis and Catalysis	Adv. Synth. Catal.
Advances in Applied Microbiology	Adv. Appl. Microbiol.
Advances in Atomic Molecular and Optical Physics	Adv. At. Mol. Opt. Phy.
Advances in Biochemical Engineering / Biotechnology	Adv. Biochem. Eng./Biotechnol.
Advances in Carbohydrate Chemistry and Biochemistry	Adv. Carbohydr. Chem. Biochem.
Advances in Chemical Physics	Adv. Chem. Phys.
Advances in Chemistry Series	Adv. Chem. Ser.
Advances in Chromatography	Adv. Chromatogr.
Advances in Colloid and Interface Science	Adv. Colloid Interface Sci.
Advances in Cryogenic Engineering	Adv. Cryog. Eng.
Advances in Enzyme Regulation	Adv. Enzyme Regul.
Advances in Enzymology and Related Areas of Molecular Biology	Adv. Enzymol. Relat. Areas Mol. Biol.
Advances in Filtration and Separation Technology	Adv. Filtr. Sep. Technol.
Advances in Heterocyclic Chemistry	Adv. Heterocycl. Chem.
Advances in Inorganic Chemistry	Adv. Inorg. Chem.
Advances in Mass Spectrometry	Adv. Mass Spectrom.
Advances in Materials Research	Adv. Mater. Res.
Advances in Organometallic Chemistry	Adv. Organomet. Chem.
Advances in Physical Organic Chemistry	Adv. Phys. Org. Chem.
Advances in Polymer Science	Adv. Polym. Sci.
Advances in Polymer Technology	Adv. Polym. Tech.
Advances in Powder Metallurgy and Particulate Materials	Adv. Powder. Metall. Part. Mater.
Advances in Protein Chemistry	Adv. Protein Chem.
Advances in Quantum Chemistry	Adv. Quantum Chem.
Advances in Second Messenger and Phosphoprotein Research	Adv. Second Messenger Phosphoprotein Res.
Advances in Space Research	Adv. Space Res.
Advances in X-Ray Analysis	Adv. X-Ray Anal.
Adverse Drug Reactions and Toxicological Reviews	Adverse Drug React. Toxicol. Rev.
Aerosol Science and Technology	Aerosol Sci. Technol.
AIChE Journal	AlChE J.
AIChE Symposium Series	AlChE Symp. Ser.
American Ceramic Society Bulletin	Am. Ceram. Soc. Bull.
American Industrial Hygiene Association Journal	Am. Ind. Hyg. Assoc. J.
American Journal of Respiratory Cell and Molecular Biology	Am. J. Respir. Cell Mol. Biol.
American Laboratory	Am. Lab.
American Mineralogist	Am. Mineral.
Ammonia Plant Safety and Related Facilities	Ammonia Plant Saf. Relat. Facil
Anales de la Asociacion Quimica Argentina	An. Asoc. Quim. Argent.
Anales de Quimica	An. Quim.
Analytica Chimica Acta	Anal. Chim. Acta
Analytical Biochemistry	Anal. Biochem.
Analytical Chemistry	Anal. Chem.
Analytical Communications	Anal. Commun.
Analytical Letters	Anal. Lett.
Analytical Sciences	Anal. Sci.
Angewandte Chemie International Edition	Angew. Chem. Int. Ed.
Angewandte Chemie	Angew. Chem.
