Cancer Research and Treatment	Cancer Res Treat
Chonnam Medical Journal	Chonnam Med J
Experimental and Molecular Medicine	Exp Mol Med
Immune Network	Immune Netw
Infection and Chemotherapy	Infect Chemother
Journal of Asthma, Allergy and Clinical Immunology	J Asthma Allergy Clin Immunol
Journal of Bacteriology and Virology	J Bacteriol Virol
Journal of Genetic Medicine	J Genet Med
Journal of Korean Academy of Adult Nursing	J Korean Acad Adult Nurs
Journal of Korean Academy of Fundamental Nursing	J Korean Acad Fundam Nurs
Journal of Korean Academy of Nursing	J Korean Acad Nurs
Journal of Korean Academy of Oral and Maxillofacial Radiology	J Korean Acad Oral Maxillofac Radiol
Journal of Korean Academy of Prosthodontics	J Korean Acad Prosthodont
Journal of Korean Breast Cancer Society	J Korean Breast Cancer Soc
Journal of Korean Medical Science	J Korean Med Sci
Journal of Korean Orthopaedic Research Society	J Korean Orthop Res Soc
Journal of Korean Society of Medical Informatics	J Korean Soc Med Inform
Journal of Korean Society of Spine Surgery	J Korean Soc Spine Surg
Journal of the Korean Academy of Family Medicine	J Korean Acad Fam Med
Journal of the Korean Academy of Rehabilitation Medicine	J Korean Acad Rehabil Med
Journal of the Korean Association of Maxillofacial Plastic and Reconstructive Surgeons	J Korean Assoc Maxillofac Plast Reconstr Surg
Journal of the Korean Association of Oral and Maxillofacial Surgeons	J Korean Assoc Oral Maxillofac Surg
Journal of the Korean Association of Pediatric Surgeons	J Korean Assoc Pediatr Surg
Journal of the Korean Cancer Association	J Korean Cancer Assoc
Journal of the Korean Child Neurology Society	J Korean Child Neurol Soc
Journal of the Korean Cleft Palate-Craniofacial Association	J Korean Cleft Palate-Craniofac Assoc
Journal of the Korean Continence Society	J Korean Continence Soc
Journal of the Korean Diabetes Association	J Korean Diabet Assoc
Journal of the Korean Gastric Cancer Association	J Korean Gastric Cancer Assoc
Journal of the Korean Knee Society	J Korean Knee Soc
Journal of the Korean Neurological Association	J Korean Neurol Assoc
Journal of the Korean Neuropsychiatric Association	J Korean Neuropsychiatr Assoc
Journal of the Korean Neurosurgical Society	J Korean Neurosurg Soc
Journal of the Korean Ophthalmological Society	J Korean Ophthalmol Soc
Journal of the Korean Orthopaedic Association	J Korean Orthop Assoc
Journal of the Korean Pain Society	J Korean Pain Soc
