Administrative Law Review	Admin. L. Rev.
African-American Law & Policy Report	Afr.-Am. L. & Pol'y Rep.
Akron Law Review	Akron L. Rev.
Akron Tax Journal	Akron Tax J.
Alabama Law Review	Ala. L. Rev.
Alaska Law Review	Alaska L. Rev.
Albany Law Journal of Science & Technology	Alb. L.J. Sci. & Tech.
Albany Law Review	Alb. L. Rev.
American Bankruptcy Institute Law Review	Am. Bankr. Inst. L. Rev.
American Criminal Law Review	Am. Crim. L. Rev.
American Indian Law Review	Am. Indian L. Rev.
American Journal of Comparative Law	Am. J. Comp. L.
American Journal of Criminal Law	Am. J. Crim. L.
American Journal of Law & Medicine	Am. J.L. & Med.
American Journal of Legal History	Am. J. Legal Hist.
American Journal of Trial Advocacy	Am. J. Trial Advoc.
American Review of International Arbitration	Am. Rev. Int'l Arb.
American University International Law Review	Am. U. Int'l L. Rev.
American University Journal of Gender, Social Policy & the Law	Am. U. J. Gender & Soc. Pol'y & L.
American University Law Review	Am. U. L. Rev.
Animal Law	Animal L.
Annals of Health Law	Annals Health L.
Annual Review of Banking and Financial Law	Ann. Rev. Banking & Fin. L.
Annual Survey of International & Comparative Law	Ann. Surv. Int'l & Comp. L.
Antitrust Law Journal	Antitrust L.J.
Appalachian Journal of Law	Appalachian J.L.
Arizona Journal of International and Comparative Law	Ariz. J. Int'l & Comp. L.
Arizona Law Review	Ariz. L. Rev.
Arizona State Law Journal	Ariz. St. L.J.
Arkansas Law Review	Ark. L. Rev.
Asia Pacific Journal of Environmental Law	Asia Pac. J. Envtl. L.
Asian Law Journal	Asian L.J.
Australian Journal of Asian Law	Austl. J. Asian L.
Ave Maria Law Review	Ave Maria L. Rev.
Barry Law Review	Barry L. Rev.
Baylor Law Review	Baylor L. Rev.
Berkeley Business Law Journal	Berkeley Bus. L.J.
Berkeley Journal of Employment and Labor Law	Berkeley J. Emp. & Lab. L.
Berkeley Journal of International Law	Berkeley J. Int'l L.
Berkeley La Raza Law Journal	Berkeley La Raza L.J.
Berkeley Technology Law Journal	Berkeley Tech. L.J.
Berkeley Women's Law Journal	Berkeley Women's L.J.
Boston College Environmental Affairs Law Review	B.C. Envtl. Aff. L. Rev.
Boston College International and Comparative Law Review	B.C. Int'l & Comp. L. Rev.
Boston College Law Review	B.C. L. Rev.
Boston College Third World Law Journal	B.C. Third World L.J.
Boston University International Law Journal	B.U. Int'l L.J.
Boston University Journal of Science & Technology Law	B.U. J. Sci. & Tech. L.
Boston University Law Review	B.U. L. Rev.
Boston University Public Interest Law Journal	B.U. Pub. Int. L.J.
Brandeis Law Journal	Brandeis L.J.
Brigham Young University Education and Law Journal	BYU Educ. & L.J.
Brigham Young University Law Review	BYU L. Rev.
Brooklyn Journal of International Law	Brook. J. Int'l L.
Brooklyn Law Review	Brook. L. Rev.
Buffalo Criminal Law Review	Buff. Crim. L. Rev.
Buffalo Environmental Law Journal	Buff. Envtl. L.J.
Buffalo Human Rights Law Review	Buff. Hum. Rts. L. Rev.
Buffalo Intellectual Property Law Journal	Buff. Intell. Prop. L.J.
Buffalo Law Review	Buff. L. Rev.
Buffalo Public Interest Law Journal	Buff. Pub. Interest L.J.
Buffalo Women's Law Journal	Buff. Women's L.J.
Business Lawyer	Bus. Law.
BYU Journal of Public Law	BYU J. Pub. L.
California Law Review	Cal. L. Rev.
California Western International Law Journal	Cal. W. Int'l L.J.
California Western Law Review	Cal. W. L. Rev.
Campbell Law Review	Campbell L. Rev.
Canada-United States Law Journal	Can.-U.S. L.J.
Capital Defense Journal	Cap. Def. J.
Capital University Law Review	Cap. U. L. Rev.
Cardozo Arts & Entertainment Law Journal	Cardozo Arts & Ent. L.J.
Cardozo Journal of Conflict Resolution	Cardozo J. Conflict Resol.
Cardozo Journal of International and Comparative Law	Cardozo J. Int'l & Comp. L.
Cardozo Law Review	Cardozo L. Rev.
Cardozo Public Law, Policy & Ethics Journal	Cardozo Pub. L. Pol’y & Ethics J.
Cardozo Women's Law Journal	Cardozo Women's L.J.
Case Western Reserve Journal of International Law	Case W. Res. J. Int'l L.
Case Western Reserve Law Review	Case W. Res. L. Rev.
Catholic Lawyer	Cath. Law.
Catholic University Law Review	Cath. U. L. Rev.
Chapman Law Review	Chapman L. Rev.
Chicago Journal of International Law	Chi. J. Int'l L.
Chicago-Kent Law Review	Chi.-Kent. L. Rev.
Chicano-Latino Law Review	Chicano-Latino L. Rev.
Cleveland State Law Review	Clev. St. L. Rev.
Clinical Law Review	Clinical L. Rev.
Colorado Journal of International Environmental Law and Policy	Colo. J. Int'l Envtl. L. & Pol'y
Columbia Business Law Review	Colum. Bus. L. Rev.
Columbia Human Rights Law Review	Colum. Hum. Rts. L. Rev.
Columbia Journal of Asian Law	Colum. J. Asian L.
Columbia Journal of Environmental Law	Colum. J. Envtl. L.
Columbia Journal of European Law	Colum. J. Eur. L.
Columbia Journal of Gender and Law	Colum. J. Gender & L.
Columbia Journal of Law and Social Problems	Colum. J.L. & Soc. Probs.
Columbia Journal of Law & the Arts	Colum. J.L. & Arts
Columbia Journal of Transnational Law	Colum. J. Transnat'l L.
Columbia Law Review	Colum. L. Rev.
CommLaw Conspectus: Journal of Communications Law and Policy	CommLaw Conspectus
Comparative Labor Law Journal & Policy Journal	Comp. Lab. L. & Pol'y J.
Computer Law Review and Technology Law Journal	Computer L. Rev. & Tech. L.J. 
Conflict Resolution Quarterly	Conflict Resol. Q.
Connecticut Insurance Law Journal	Conn. Ins. L.J.
Connecticut Journal of International Law	Conn. J. Int'l L.
Connecticut Law Review	Conn. L. Rev.
Constitutional Commentary	Const. Comment.
Cornell International Law Journal	Cornell Int'l L.J.
Cornell Journal of Law and Public Policy	Cornell J.L. & Pub. Pol'y
Cornell Law Review	Cornell L. Rev.
Creighton Law Review	Creighton L. Rev.
Criminal Law Forum	Crim. L. Forum
Cumberland Law Review	Cumb. L. Rev.
Delaware Journal of Corporate Law	Del. J. Corp. L.
Denver Journal of International Law and Policy	Denv. J. Intl'l L. & Pol'y
Denver University Law Review	Denv. U. L. Rev.
DePaul Business & Commercial Law Journal	DePaul Bus. & Com. L.J.
DePaul Journal of Health Care Law	DePaul J. Health Care L.
DePaul Law Review	DePaul L. Rev.
Drake Law Review	Drake L. Rev.
Duke Environmental Law & Policy Forum	Duke Envtl. L. & Pol'y F.
Duke Journal of Comparative & International Law	Duke J. Comp. & Int'l L.
Duke Journal of Gender Law & Policy	Duke J. Gender L. & Pol'y
Duke Law Journal	Duke L.J.
Duquesne Business Law Journal	Duq. Bus. L.J.
Duquesne Law Review	Duq. L. Rev.
Ecology Law Quarterly	Ecology L.Q.
Elder Law Journal	Elder L.J.
Emory Bankruptcy Developments Journal	Emory Bankr. Dev. J.
Emory International Law Review	Emory Int'l L. Rev.
Emory Law Journal	Emory L.J.
Employee Rights and Employment Policy Journal	Em. Rts. & Emp. Pol'y J.
Environmental Law	Envtl. L.
Environmental Law Reporter News & Analysis	Envtl. L. Rep. News & Analysis
Environmental Lawyer	Envtl. Law.
Environs	Environs
European Journal of International Law	Eur. J. Int'l L.
Family Law Quarterly	Fam. L.Q.
Federal Communications Law Journal	Fed. Comm. L.J.
First Amendment Law Review	First Amend. L. Rev.
Florida Coastal Law Journal	Fla. Coastal L.J.
Florida Entertainment, Art & Sport Law Journal	Fla. Ent. Art & Sport L.J.
Florida Journal of International Law	Fla. J. Int'l L.
Florida Law Review	Fla. L. Rev.
Florida State University Law Review	Fla. St. U. L. Rev.
Florida Tax Review	Fla. Tax Rev.
Fordham Environmental Law Journal	Fordham Envtl. L.J.
Fordham Intellectual Property, Media & Entertainment Law Journal	Fordham Intell. Prop. Media & Ent. L.J.
Fordham International Law Journal	Fordham Int'l L.J.
Fordham Law Review	Fordham L. Rev.
Fordham Urban Law Journal	Fordham Urb. L.J.
George Mason Law Review	Geo. Mason L. Rev.
George Mason University Civil Rights Law Journal	Geo. Mason U. Civ. Rts. L.J.
George Washington International Law Review	Geo. Wash. Int'l L. Rev.
George Washington Law Review	Geo. Wash. L. Rev.
Georgetown Immigration Law Journal	Geo. Immigr. L.J.
Georgetown International Environmental Law Review	Geo. Int'l Envtl. L. Rev.
Georgetown Journal of Gender and the Law	Geo. J. Gender & L.
Georgetown Journal of International Law	Geo. J. Int'l L.
Georgetown Journal of Law & Public Policy	Geo. J.L. & Pub. Pol'y
Georgetown Journal of Legal Ethics	Geo. J. Legal Ethics
Georgetown Journal on Poverty Law & Policy	Geo. J. on Poverty L. & Pol'y
Georgetown Law Journal	Geo. L.J.
Georgia Journal of International and Comparative Law	Ga. J. Int'l & Comp. L.
Georgia Law Review	Ga. L. Rev.
Georgia State University Law Review	Ga. St. U. L. Rev.
Golden Gate University Law Review	Golden Gate U. L. Rev.
Gonzaga Law Review	Gonz. L. Rev.
Graven Images: A Journal of Culture, Law, and the Sacred	Graven Images
Great Plains Natural Resources Journal	Great Plains Nat. Resources J.
Hamline Journal of Public Law and Policy	Hamline J. Pub. L. & Pol'y
Hamline Law Review	Hamline L. Rev.
Harvard BlackLetter Law Journal	Harv. BlackLetter L.J.
Harvard Civil Rights-Civil Liberties Law Review	Harv. C.R.-C.L. L. Rev.
Harvard Environmental Law Review	Harv. Envtl. L. Rev.
Harvard Human Rights Journal	Harv. Hum. Rts. J.
Harvard International Law Journal	Harv. Int'l L.J.
Harvard Journal of Law & Public Policy	Harv. J.L. & Pub. Pol'y
Harvard Journal of Law & Technology	Harv. J.L. & Tech.
Harvard Journal on Legislation	Harv. J. on Legis.
Harvard Latino Law Review	Harv. Latino L. Rev.
Harvard Law Review	Harv. L. Rev.
Harvard Negotiation Law Review	Harv. Negot. L. Rev.
Harvard Women's Law Journal	Harv. Women's L.J.
Hastings Business Law Journal	Hastings Bus. L.J.
Hastings Communications and Entertainment Law Journal	Hastings Comm. & Ent. L.J.
Hastings Constitutional Law Quarterly	Hastings Const. L.Q.
Hastings International and Comparative Law Review	Hastings Int'l & Comp. L. Rev.
Hastings Law Journal	Hastings L.J.
Hastings West-Northwest Journal of Environmental Law & Policy	Hastings W.-Nw. J. Envtl. L. & Pol'y
Hastings Women's Law Journal	Hastings Women's L.J.
Health Matrix	Health Matrix
Hofstra Labor & Employment Law Journal	Hofstra Lab. & Emp. L.J.
Hofstra Law & Policy Symposium	Hofstra L. & Pol'y Symp.
Hofstra Law Review	Hofstra L. Rev.
Houston Journal of Health Law & Policy	Hous. J. Health L. & Pol'y
Houston Journal of International Law	Hous. J. Int'l L.
Houston Law Review	Hous. L. Rev.
Howard Law Journal	How. L.J.
Howard Scroll: The Social Justice Review	How. Scroll
Human Rights Quarterly	Hum. Rts. Q.
I/S	I/S
Idaho Law Review	Idaho L. Rev.
IDEA: The Journal of Law and Technology	IDEA
IIC: Journal of Intellectual Property and Competition Law	IIC
ILSA Journal of International and Comparative Law	ILSA J. Int'l & Comp. L.
Indiana Health Law Review	Ind. Health L. Rev.
Indiana International & Comparative Law Review	Ind. Int'l & Comp. L. Rev.
Indiana Journal of Global Legal Studies	Ind. J. Global Legal Stud.
Indiana Law Journal	Ind. L.J.
Indiana Law Review	Ind. L. Rev.
Indigenous Peoples' Journal of Law, Culture & Resistance	Indigenous Peoples' J.L. Culture & Resist.
Intellectual Property Law Bulletin	Intell. Prop. L. Bull.
International and Comparative Law Quarterly	Int'l & Comp. L.Q.
International and Comparative Law Review	Int'l & Comp. L. Rev.
International Environmental Affairs	Int'l Envtl. Aff.
International Journal for the Semiotics of Law	Int'l J. for Semiotics L.
International Journal of the Legal Profession	Int'l J. Legal Prof.
International Law Review	Int’l L. Rev.
International Lawyer	Int'l Law.
International Review of Law and Economics	Int'l Rev. L. & Econ.
Iowa Law Review	Iowa L. Rev.
John Marshall Journal of Computer & Information Law	J. Marshall J. Computer & Info. L.
John Marshall Law Review	J. Marshall L. Rev.
Journal of Affordable Housing & Community Development Law	J. Affordable Housing & Commun. Dev. L.
Journal of Air Law and Commerce	J. Air L. & Com.
Journal of Appellate Practice and Process	J. App. Prac. & Process
Journal of Catholic Legal Studies	J. Cath. Legal Stud.
Journal of College and University Law	J.C.& U.L.
Journal of Contemporary Health Law & Policy	J. Contemp. Health L. & Pol'y
Journal of Contemporary Legal Issues	J. Contemp. Legal Issues
Journal of Corporation Law	J. Corp. L.
Journal of Criminal Law and Criminology	J. Crim. L. & Criminology
Journal of Dispute Resolution	J. Disp. Resol.
Journal of East European Law	J.E. Eur. L.
Journal of Empirical Legal Studies	J. Empirical Legal Stud.
Journal of Environmental Law and Litigation	J. Envtl. L. & Litig.
Journal of Gender, Race and Justice	J. Gender Race & Just.
Journal of Health & Biomedical Law	J. Health & Biomed. L.
Journal of Health Care Law & Policy	J. Health Care L. & Pol'y
Journal of Intellectual Property Law	J. Intell. Prop. L.
Journal of International Economic Law	J. Int'l Econ. L.
Journal of International Legal Studies	J. Int'l Legal Stud.
Journal of Land, Resources & Environmental Law	J. Land Res. & Envtl. L.
Journal of Land Use and Environmental Law	J. Land Use & Envtl. L.
Journal of Law and Commerce	J.L. & Com.
Journal of Law & Economics	J.L. & Econ.
Journal of Law & Education	J.L. & Educ.
Journal of Law & Family Studies	J.L. & Fam. Stud.
Journal of Law and Policy	J.L. & Pol'y
Journal of Law and Politics	J.L. & Pol.
Journal of Law and Religion	J.L. & Relig.
Journal of Law and Social Change	J.L. & Soc. Change
Journal of Law, Economics & Organization	J.L. Econ. & Org.
Journal of Law, Economics & Policy	J.L. Econ. & Pol'y
Journal of Law in Society	J.L. Soc'y
Journal of Legal Education	J. Legal Educ.
Journal of Legal Studies	J. Legal Stud.
Journal of Legislation	J. Legis.
Journal of Maritime Law and Commerce	J. Mar. L. & Com.
Journal of Medicine and Law	J. Med. & L.
Journal of National Security Law	J. Nat'l Sec. L.
Journal of National Security Law & Policy	J. Nat'l Sec. L. & Pol'y
Journal of Natural Resources & Environmental Law	J. Nat. Resources & Envtl. L.
Journal of Pharmacy & Law	J. Pharmacy & L.
Journal of Southern Legal History	J. S. Legal Hist.
Journal of Space Law	J. Space L.
Journal of Technology Law & Policy	J. Tech. L. & Pol'y
Journal of the Association of Legal Writing Directors	J. Ass'n Legal Writing Directors
Journal of the Copyright Society of the U.S.A.	J. Copyright Soc'y U.S.A.
Journal of the Institute for the Study of Legal Ethics	J. Inst. Stud. Legal Ethics
Journal of the Legal Profession	J. Legal Prof.
Journal of the National Association of Administrative Law Judges	J. Nat’l Ass’n Admin. L.J.
Journal of the Suffolk Academy of Law	J. Suffolk Acad. L.
Journal of Transnational Law & Policy	J. Transnat'l L. & Pol'y
Journal on Telecommunications & High Technology Law	J. Telecomm. & High Tech. L.
Jurimetrics: The Journal of Law, Science, and Technology	Jurimetrics J.
Kansas Journal of Law & Public Policy	Kan. J.L. & Pub. Pol'y
