AACN Clinical Issues	AACN Clin. Issues	AACN Clin Issues	
AACN Clinical Issues in Critical Care Nursing	AACN Clin. Issues Crit. Care Nurs.	AACN Clin Issues Crit Care Nurs	
AADE Editors Journal	AADE Ed. J.	AADE Ed J	
AANA Journal	AANA J.	AANA J	
AANNT Journal	AANNT J.	AANNT J	
AAOHN Journal	AAOHN J.	AAOHN J	
AAPPO Journal	AAPPO J.	AAPPO J	
AARN News Letter	AARN News Lett.	AARN News Lett	
Abdominal Imaging	Abdom. Imaging	Abdom Imaging	
ABNF Journal	ABNF J.	ABNF J	
Academia Peruana de Cirugia	Acad. Peru. Cir.	Acad Peru Cir	
Academic Emergency Medicine	Acad. Emerg. Med.	Acad Emerg Med	
Academic Medicine	Acad. Med.	Acad Med	
Academic Nurse	Acad. Nurse	Acad Nurse	
Academic Radiology	Acad. Radiol.	Acad Radiol	
Academy of Management Journal	Acad. Manage. J.	Acad Manage J	
Academy of Management Review	Acad. Manage. Rev.	Acad Manage Rev	
Academy Review of the California Academy of Periodontology, United States Section. Arpa Internationale	Acad. Rev. Calif. Acad. Periodontol.	Acad Rev Calif Acad Periodontol	
Acarologia	Acarologia	Acarologia	
Accident Analysis and Prevention	Accid. Anal. Prev.	Accid Anal Prev	Accident Analysis & Prevention
Accident and Emergency Nursing	Accid. Emerg. Nurs.	Accid Emerg Nurs	Accident & Emergency Nursing
ACP Journal Club	ACP J. Club	ACP J Club	
Acquisitions Medicales Recentes	Acquis. Med. Recent.	Acquis Med Recent	
ACRH Reports	ACRH Rep.	ACRH Rep	
Across the Board	Across Board (NY).	Across Board (NY)	
Acta Academiae Medicinae Wuhan	Acta Acad. Med. Wuhan	Acta Acad Med Wuhan	
Acta Allergologica	Acta Allergol.	Acta Allergol	
Acta Anaesthesiologica	Acta Anaesthesiol.	Acta Anaesthesiol	
Acta Anaesthesiologica Belgica	Acta Anaesthesiol. Belg.	Acta Anaesthesiol Belg	
Acta Anaesthesiologica Scandinavica	Acta Anaesthesiol. Scand.	Acta Anaesthesiol Scand	
Acta Anaesthesiologica Scandinavica. Supplementum	Acta Anaesthesiol. Scand. Suppl.	Acta Anaesthesiol Scand Suppl	
Acta Anaesthesiologica Sinica	Acta Anaesthesiol. Sin.	Acta Anaesthesiol Sin	
Acta Anatomica	Acta Anat. (Basel).	Acta Anat (Basel)	
Acta Anatomica. Supplement	Acta Anat. Suppl. (Basel).	Acta Anat Suppl (Basel)	
Acta Anthropogenetica	Acta Anthropogenet.	Acta Anthropogenet	
Acta Belgica. Medica Physica	Acta Belg. Med. Phys.	Acta Belg Med Phys	
Acta Bio-Medica de l Ateneo Parmense	Acta Biomed. Ateneo Parmense	Acta Biomed Ateneo Parmense	
Acta Biochimica et Biophysica; Academiae Scientiarum Hungaricae	Acta Biochim. Biophys. Acad. Sci. Hung.	Acta Biochim Biophys Acad Sci Hung	
Acta Biochimica et Biophysica Hungarica	Acta Biochim. Biophys. Hung.	Acta Biochim Biophys Hung	
Acta Biochimica Polonica	Acta Biochim. Pol.	Acta Biochim Pol	
Acta Biologiae Experimentalis	Acta Biol. Exp. (Warsz).	Acta Biol Exp (Warsz)	
Acta Biologica Academiae Scientiarum Hungaricae	Acta Biol. Acad. Sci. Hung.	Acta Biol Acad Sci Hung	
Acta Biologica et Medica	Acta Biol. Med. (Gdansk).	Acta Biol Med (Gdansk)	
Acta Biologica et Medica Germanica	Acta Biol. Med. Ger.	Acta Biol Med Ger	
Acta Biologica Hungarica	Acta Biol. Hung.	Acta Biol Hung	
Acta Biotheoretica	Acta Biotheor.	Acta Biotheor	
Acta Cancerologica	Acta Cancerol. (Lima).	Acta Cancerol (Lima)	
Acta Cardiologica	Acta Cardiol.	Acta Cardiol	
Acta Cardiologica. Supplementum	Acta Cardiol. Suppl.	Acta Cardiol Suppl	
Acta Chem Scand	Acta Chem Scand [A].	Acta Chem Scand [A]	
Acta Chemica Scandinavica	Acta Chem. Scand.	Acta Chem Scand	
Acta Chemica Scandinavica. Series A: Physical and Inorganic Chemistry	Acta Chem. Scand. A.	Acta Chem Scand A	Acta Chemica Scandinavica. Series A: Physical & Inorganic Chemistry
Acta Chemica Scandinavica. Series B. Organic Chemistry and Biochemistry	Acta Chem. Scand. B.	Acta Chem Scand B	Acta Chemica Scandinavica. Series B. Organic Chemistry & Biochemistry
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca	Acta Chir. Orthop. Traumatol. Cech.	Acta Chir Orthop Traumatol Cech	
Acta Chirurgiae Plasticae	Acta Chir. Plast.	Acta Chir Plast	
Acta Chirurgica Academiae Scientiarum Hungaricae	Acta Chir. Acad. Sci. Hung.	Acta Chir Acad Sci Hung	
Acta Chirurgica Belgica	Acta Chir. Belg.	Acta Chir Belg	
Acta Chirurgica Hungarica	Acta Chir. Hung.	Acta Chir Hung	
Acta Chirurgica Italica	Acta Chir. Ital.	Acta Chir Ital	
Acta Chirurgica Iugoslavica	Acta Chir. Iugosl.	Acta Chir Iugosl	
Acta Chirurgica Scandinavica	Acta Chir. Scand.	Acta Chir Scand	
Acta Chirurgica Scandinavica. Supplementum	Acta Chir. Scand. Suppl.	Acta Chir Scand Suppl	
Acta Cientifica Venezolana	Acta Cient. Venez.	Acta Cient Venez	
Acta Clinica Belgica	Acta Clin. Belg.	Acta Clin Belg	
Acta Clinica Belgica. Supplementum	Acta Clin. Belg. Suppl.	Acta Clin Belg Suppl	
Acta Clinica Odontologica	Acta Clin. Odontol.	Acta Clin Odontol	
Acta Crystallographica	Acta Crystallogr.	Acta Crystallogr	
Acta Crystallographica. Section A, Crystal Physics, Diffraction, Theoretical and General Crystallography	Acta Crystallogr. A.	Acta Crystallogr A	Acta Crystallographica. Section A, Crystal Physics, Diffraction, Theoretical & General Crystallography
Acta Crystallographica. Section A: Foundations of Crystallography	Acta Crystallogr. A.	Acta Crystallogr A	
